fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2020-11-22,2486,1493,2077,1230,0.6005631536604988,0.5922002888781897
2020-11-23,8855,3406,7650,2841,0.3846414455110107,0.37137254901960787
2020-11-24,10244,3130,8865,2762,0.30554470909800857,0.3115623237450649
2020-11-25,10378,2596,8967,2260,0.2501445365195606,0.25203524032563845
2020-11-26,10570,2775,9111,2415,0.2625354777672658,0.2650642081000988
2020-11-27,10317,2758,8970,2400,0.267325772996026,0.26755852842809363
2020-11-28,4214,1050,3693,887,0.24916943521594684,0.24018413214189005
2020-11-29,2419,735,2064,631,0.30384456386936753,0.3057170542635659
2020-11-30,11574,3227,10008,2751,0.2788145844133402,0.2748800959232614
2020-12-01,12979,3424,11223,2973,0.2638107712458587,0.2649024325046779
2020-12-02,14525,3645,12494,3129,0.25094664371772807,0.2504402113014247
2020-12-03,14891,3749,12930,3256,0.25176280975085624,0.25181747873163185
2020-12-04,15624,3893,13372,3312,0.2491679467485919,0.24768172300329047
2020-12-05,5456,1472,4826,1289,0.2697947214076246,0.26709490261085783
2020-12-06,3403,938,2878,774,0.275639141933588,0.2689367616400278
2020-12-07,16414,4715,14054,4014,0.28725478250274156,0.28561263697168066
2020-12-08,18026,4857,15408,4092,0.2694441362476423,0.26557632398753894
2020-12-09,17078,4594,14614,3872,0.2690010539875864,0.2649514164499795
2020-12-10,17741,4549,15313,3896,0.2564117017079082,0.2544243453274995
2020-12-11,17024,4375,14615,3754,0.25699013157894735,0.2568593910366062
2020-12-12,5709,1737,4987,1512,0.3042564372044141,0.3031882895528374
2020-12-13,3334,1040,2739,854,0.3119376124775045,0.3117926250456371
2020-12-14,17391,5105,14540,4275,0.2935426369961474,0.29401650618982117
2020-12-15,17155,5026,14588,4255,0.2929758088020985,0.29167809158212227
2020-12-16,16646,4933,13925,4131,0.2963474708638712,0.29666068222621184
2020-12-17,16884,4654,14185,3885,0.2756455816157309,0.2738808600634473
2020-12-18,17508,4937,15001,4111,0.2819853781128627,0.2740483967735484
2020-12-19,6761,1761,5950,1516,0.26046442833900313,0.25478991596638656
2020-12-20,3947,1050,3227,858,0.2660248289840385,0.2658816237991943
2020-12-21,18338,5665,15719,4826,0.3089213654706075,0.3070169858133469
2020-12-22,17416,4913,15016,4167,0.28209692237023426,0.2775039957378796
2020-12-23,16729,4667,14527,3992,0.2789766274134736,0.2747986507881875
2020-12-24,12972,3456,11412,2990,0.2664199814986124,0.2620049071153172
2020-12-25,2561,840,2082,661,0.3279968762202265,0.3174831892411143
2020-12-26,5453,1594,4660,1378,0.2923161562442692,0.2957081545064378
2020-12-27,3732,1063,3171,893,0.28483386923901394,0.2816146326080101
2020-12-28,16171,4451,14059,3916,0.2752458104013357,0.2785404367309197
2020-12-29,17443,4693,15222,4054,0.2690477555466376,0.26632505584023125
2020-12-30,16470,4208,14453,3641,0.2554948391013965,0.251920016605549
2020-12-31,12835,3436,11433,2985,0.26770549279314376,0.26108632904749407
2021-01-01,2828,812,2474,704,0.2871287128712871,0.28455941794664513
2021-01-02,4697,1566,3987,1331,0.3334043006174154,0.33383496363180337
2021-01-03,4290,1328,3507,1091,0.3095571095571096,0.3110921015112632
2021-01-04,15803,4542,13771,3926,0.2874137821932544,0.28509185970517753
2021-01-05,18084,5126,15613,4486,0.28345498783454987,0.2873246653429834
2021-01-06,17743,4958,15459,4278,0.27943414304232655,0.2767320007762468
2021-01-07,20145,5331,17165,4614,0.26463142218912883,0.2688027963879988
2021-01-08,18517,4873,15652,4146,0.26316357941351193,0.2648862765141835
2021-01-09,7305,2213,6360,1928,0.302943189596167,0.3031446540880503
2021-01-10,5333,1412,4343,1205,0.2647665479092443,0.27745797835597513
2021-01-11,19948,5456,17094,4767,0.2735111289352316,0.2788697788697789
2021-01-12,22129,6233,18936,5361,0.28166659135071626,0.28311153358681873
2021-01-13,21975,5783,18786,4993,0.2631626848691695,0.2657830299158948
2021-01-14,27155,7701,23445,6848,0.28359418155035904,0.29208786521646407
2021-01-15,24782,7177,21540,6332,0.2896053587281091,0.29396471680594244
2021-01-16,10280,3027,9035,2724,0.29445525291828795,0.3014941892639734
2021-01-17,8338,2397,7116,2107,0.2874790117534181,0.2960933108487915
2021-01-18,24708,7312,21452,6314,0.2959365387728671,0.2943315308595935
2021-01-19,26869,7352,23114,6358,0.2736238788194574,0.2750713853076058
2021-01-20,26151,7379,22612,6433,0.28216894191426717,0.2844949584291527
2021-01-21,26525,6614,22672,5718,0.24934967012252593,0.25220536344389555
2021-01-22,25241,5827,21479,4969,0.23085456202210689,0.23134224125890404
2021-01-23,9134,2294,7735,1988,0.2511495511276549,0.25701357466063346
2021-01-24,7160,1680,6096,1499,0.2346368715083799,0.24589895013123358
2021-01-25,23895,5662,20474,4819,0.23695333751830927,0.2353716909250757
2021-01-26,23644,4921,20237,4301,0.2081289121975977,0.21253150170479815
2021-01-27,26717,5572,23075,4902,0.2085563498895834,0.2124377031419285
2021-01-28,24344,5013,20868,4362,0.2059234308248439,0.2090281771132835
2021-01-29,21830,4273,18895,3669,0.1957398076042144,0.19417835406192113
2021-01-30,8487,1411,7141,1203,0.16625427123836456,0.1684638005881529
2021-01-31,6047,1007,5100,858,0.16652885728460393,0.16823529411764707
2021-02-01,5304,1054,4569,896,0.1987179487179487,0.1961041803458087
2021-02-02,20797,4235,18104,3679,0.20363513968360822,0.20321475916924436
2021-02-03,23112,4020,19977,3433,0.17393561786085152,0.17184762476848375
2021-02-04,19796,3393,16931,2953,0.1713982622752071,0.17441379717677633
2021-02-05,19483,3220,16981,2872,0.16527228866191038,0.1691302043460338
2021-02-06,6493,1072,5622,914,0.16510087786847374,0.16257559587335468
2021-02-07,4569,664,3960,566,0.14532720507769753,0.14292929292929293
2021-02-08,18856,3422,16294,2974,0.18148069579974543,0.18252117343807536
2021-02-09,20027,3398,17225,2889,0.16967094422529586,0.16772133526850508
2021-02-10,19550,3183,16653,2694,0.16281329923273657,0.16177265357593226
2021-02-11,17741,2682,15013,2261,0.15117524378558142,0.1506028108972224
2021-02-12,18161,2805,15592,2466,0.15445184736523318,0.15815802975885068
2021-02-13,5582,957,4890,823,0.17144392690791832,0.16830265848670756
2021-02-14,3758,479,3344,426,0.12746141564662053,0.12739234449760767
2021-02-15,18225,2845,15656,2474,0.1561042524005487,0.1580224833929484
2021-02-16,17278,2641,15039,2312,0.15285333950688737,0.15373362590597778
2021-02-17,17289,2534,14803,2213,0.14656718144484931,0.1494967236371006
2021-02-18,16873,2279,14349,1981,0.135067859894506,0.13805840128231933
2021-02-19,15779,2383,13738,2094,0.15102351226313454,0.1524239336147911
2021-02-20,5234,830,4462,704,0.15857852502865877,0.15777678171223666
2021-02-21,3579,488,3009,421,0.13635093601564682,0.13991359255566632
2021-02-22,17164,2760,14804,2388,0.1608016779305523,0.16130775466090247
2021-02-23,16767,2570,14407,2288,0.15327727082960577,0.15881168876240717
2021-02-24,16149,2359,13837,2095,0.14607715648027741,0.15140565151405652
2021-02-25,14800,2216,12582,1974,0.14972972972972973,0.1568907963757749
2021-02-26,15083,2074,12907,1816,0.13750580123317643,0.1406988455876656
2021-02-27,4927,780,4081,683,0.158311345646438,0.1673609409458466
2021-02-28,4098,510,3444,445,0.12445095168374817,0.1292102206736353
2021-03-01,16517,2671,13915,2316,0.16171217533450385,0.1664390945023356
2021-03-02,14877,2178,12694,1891,0.14640048396854205,0.14896801638569404
2021-03-03,15963,2333,13527,2048,0.1461504729687402,0.1514009018999039
2021-03-04,13388,2052,11428,1832,0.15327158649536898,0.16030801540077003
2021-03-05,11544,1795,9824,1596,0.1554920304920305,0.16245928338762214
2021-03-06,5648,719,4665,644,0.12730169971671387,0.13804930332261522
2021-03-07,4000,507,3283,424,0.12675,0.12915016752969843
2021-03-08,14767,2388,12820,2056,0.16171192523870792,0.16037441497659907
2021-03-09,13656,2020,12003,1778,0.1479203280609256,0.14812963425810213
2021-03-10,12278,1759,10425,1553,0.14326437530542432,0.14896882494004796
2021-03-11,12104,1687,10349,1493,0.13937541308658294,0.14426514639095564
2021-03-12,12154,1625,10396,1446,0.13370083922988316,0.139091958445556
2021-03-13,3900,578,3325,512,0.1482051282051282,0.15398496240601503
2021-03-14,2096,320,1790,277,0.15267175572519084,0.1547486033519553
2021-03-15,2635,351,2296,315,0.1332068311195446,0.13719512195121952
2021-03-16,13733,2016,11850,1771,0.14679967960387388,0.14945147679324894
2021-03-17,13040,1684,11248,1476,0.12914110429447853,0.13122332859174965
2021-03-18,12106,1479,10420,1319,0.12217082438460268,0.1265834932821497
2021-03-19,10906,1236,9319,1095,0.11333211076471666,0.11750187788389312
2021-03-20,3420,508,2899,409,0.14853801169590644,0.14108313211452225
2021-03-21,2393,319,2108,268,0.13330547430004178,0.127134724857685
2021-03-22,14109,1681,12094,1474,0.11914380891629456,0.12187861749627915
2021-03-23,11900,1535,10137,1381,0.12899159663865548,0.13623359968432475
2021-03-24,12312,1296,10390,1126,0.10526315789473684,0.10837343599615014
2021-03-25,10935,1152,9406,1031,0.10534979423868313,0.1096108866680842
2021-03-26,9145,1086,7745,978,0.11875341716785129,0.1262750161394448
2021-03-27,3802,438,3216,376,0.11520252498684903,0.11691542288557213
2021-03-28,2038,253,1736,226,0.12414131501472031,0.13018433179723501
2021-03-29,11245,1367,9701,1163,0.12156514006224989,0.11988454798474384
2021-03-30,11579,1239,9960,1087,0.10700405907245876,0.10913654618473896
2021-03-31,9630,1185,8343,1035,0.12305295950155763,0.12405609492988134
2021-04-01,8673,700,7408,604,0.08071025020177562,0.08153347732181425
2021-04-02,5832,557,4927,479,0.09550754458161866,0.09721940328800487
2021-04-03,1504,217,1335,190,0.14428191489361702,0.14232209737827714
2021-04-04,1537,240,1322,189,0.1561483409238777,0.14296520423600606
2021-04-05,10081,1199,8590,1040,0.11893661343120722,0.1210710128055879
2021-04-06,9678,1205,8307,1054,0.12450919611489977,0.12688094378235223
2021-04-07,10164,1158,8751,1030,0.11393152302243212,0.11770083419037825
2021-04-08,10936,1041,9310,917,0.09519019751280175,0.09849624060150376
2021-04-09,9913,1032,8382,902,0.10410571976192878,0.10761154855643044
2021-04-10,3660,458,3151,387,0.1251366120218579,0.12281815296731197
2021-04-11,2833,242,2356,191,0.08542181433109777,0.08106960950764007
2021-04-12,11468,1204,9536,1047,0.10498779211719568,0.10979446308724833
2021-04-13,12887,1179,10863,1010,0.09148754558857763,0.09297615759918991
2021-04-14,10019,833,8650,755,0.08314203014272882,0.08728323699421965
2021-04-15,10484,884,9010,788,0.0843189622281572,0.0874583795782464
2021-04-16,9446,883,8212,771,0.09347872115181029,0.09388699464198734
2021-04-17,3594,321,3168,277,0.08931552587646077,0.08743686868686869
2021-04-18,2295,187,1964,167,0.08148148148148149,0.08503054989816701
2021-04-19,11307,951,9813,842,0.0841071902361369,0.08580454499133802
2021-04-20,11865,1083,10330,940,0.09127686472819216,0.0909970958373669
2021-04-21,11084,772,9536,676,0.06964994586791771,0.07088926174496644
2021-04-22,10531,960,9233,856,0.09115943405184693,0.09271092819235352
2021-04-23,10112,691,8762,606,0.06833465189873418,0.0691622917142205
2021-04-24,3193,256,2765,206,0.08017538365173818,0.07450271247739602
2021-04-25,2674,163,2331,140,0.06095736724008975,0.06006006006006006
2021-04-26,9651,811,8286,706,0.08403274272096156,0.0852039584841902
2021-04-27,9172,700,7956,635,0.07631923244657654,0.0798139768728004
2021-04-28,9546,764,8186,663,0.080033521893987,0.08099193745419007
2021-04-29,8175,653,7103,567,0.07987767584097859,0.07982542587639026
2021-04-30,7120,490,6124,445,0.06882022471910113,0.07266492488569562
2021-05-01,2140,170,1841,141,0.0794392523364486,0.07658881042911461
2021-05-02,1659,165,1441,145,0.09945750452079566,0.10062456627342123
2021-05-03,7352,648,6239,569,0.088139281828074,0.09120051290270877
2021-05-04,7178,605,6134,492,0.08428531624407913,0.08020867297032931
2021-05-05,7096,599,6076,506,0.08441375422773394,0.08327847267939434
2021-05-06,6668,537,5746,467,0.08053389322135573,0.08127392969021928
2021-05-07,6314,443,5480,376,0.07016154577130188,0.06861313868613139
2021-05-08,2192,172,1938,147,0.07846715328467153,0.07585139318885449
2021-05-09,1437,69,1232,62,0.04801670146137787,0.05032467532467533
2021-05-10,6027,493,5123,418,0.08179857308777169,0.0815928167089596
2021-05-11,7055,562,6014,478,0.07965981573352232,0.07948121050881277
2021-05-12,7524,598,6560,466,0.07947900053163211,0.07103658536585365
2021-05-13,7119,534,6103,428,0.07501053518752634,0.07012944453547436
2021-05-14,6808,504,5761,424,0.07403055229142186,0.07359833362263496
2021-05-15,2417,121,2002,112,0.050062060405461316,0.055944055944055944
2021-05-16,1471,82,1215,71,0.0557443915703603,0.05843621399176955
2021-05-17,7254,584,6280,469,0.08050730631375792,0.07468152866242038
2021-05-18,3712,291,3174,242,0.07839439655172414,0.07624448645242596
2021-05-19,7182,457,6154,385,0.06363130047340573,0.06256093597660059
2021-05-20,5860,331,5015,265,0.05648464163822525,0.05284147557328016
2021-05-21,5940,297,5202,272,0.05,0.05228758169934641
2021-05-22,2440,141,2119,105,0.05778688524590164,0.049551675318546484
2021-05-23,1320,82,1091,68,0.06212121212121212,0.06232813932172319
2021-05-24,6614,418,5504,328,0.06319927426670699,0.059593023255813955
2021-05-25,6930,467,5921,393,0.06738816738816739,0.06637392332376288
2021-05-26,6992,466,6070,391,0.06664759725400457,0.06441515650741352
2021-05-27,6415,415,5600,344,0.0646921278254092,0.06142857142857143
2021-05-28,6116,337,5343,311,0.05510137344669719,0.05820699981283923
2021-05-29,1821,116,1607,100,0.06370126304228446,0.06222775357809583
2021-05-30,1474,83,1236,67,0.056309362279511534,0.054207119741100325
2021-05-31,6440,488,5592,441,0.07577639751552795,0.078862660944206
2021-06-01,7307,476,6296,420,0.06514301354865197,0.06670902160101652
2021-06-02,6357,545,5508,474,0.08573226364637408,0.0860566448801743
2021-06-03,5709,376,5058,350,0.06586092135225083,0.06919731119019375
2021-06-04,5945,416,4996,347,0.06997476871320438,0.06945556445156124
2021-06-05,1616,166,1443,147,0.10272277227722772,0.10187110187110188
2021-06-06,1026,107,837,87,0.10428849902534112,0.1039426523297491
2021-06-07,6173,603,5371,536,0.09768346023003402,0.0997951964252467
2021-06-08,7262,677,6395,611,0.0932250068851556,0.09554339327599687
2021-06-09,6960,655,6075,601,0.09410919540229885,0.09893004115226338
2021-06-10,5794,491,5116,431,0.084742837418018635,0.08424550430023456
2021-06-11,5981,454,5150,411,0.0759070389566962,0.07980582524271845
2021-06-12,2179,249,1902,217,0.11427260211106012,0.11409043112513144
2021-06-13,1373,150,1135,127,0.10924981791697014,0.11189427312775331
2021-06-14,6454,729,5637,661,0.11295320731329409,0.11726095440837325
2021-06-15,6181,694,5327,611,0.11227956641320175,0.11469870471184532
2021-06-16,6725,736,5923,668,0.10944237918215613,0.11278068546344758
2021-06-17,6987,738,6134,662,0.1056247316444826,0.10792305184219107
2021-06-18,6420,650,5684,591,0.10124610591900311,0.10397607318789585
2021-06-19,2169,339,1915,308,0.15629322268326418,0.1608355091383812
2021-06-20,2052,208,1832,189,0.10136452241715399,0.10316593886462883
2021-06-21,6681,955,6040,884,0.14294267325250712,0.14635761589403973
2021-06-22,8154,1088,7130,1001,0.13343144468972284,0.14039270687237027
2021-06-23,8114,1141,7119,1043,0.1406211486319941,0.14650934119960668
2021-06-24,8690,1274,7521,1162,0.14660529344073647,0.15450073128573327
2021-06-25,7775,1120,6920,1037,0.1440514469453376,0.14985549132947976
2021-06-26,2980,497,2634,452,0.16677852348993288,0.1716021260440395
2021-06-27,2281,382,2035,336,0.16747040771591407,0.1651105651105651
2021-06-28,9027,1466,7911,1309,0.16240168383737677,0.16546580710403236
2021-06-29,9087,1538,7991,1411,0.1692527786948388,0.1765736453510199
2021-06-30,8385,1336,7307,1222,0.15933214072748955,0.16723689612700152
